type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-16 18:20:00 +0000,2023-11-16 18:20:00 +0000,degF,96.8
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-16 23:55:00 +0000,2023-11-16 23:55:00 +0000,degF,98.4
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 00:59:00 +0000,2023-11-17 00:59:00 +0000,degF,99.0
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 01:57:00 +0000,2023-11-17 01:57:00 +0000,degF,99.7
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 03:50:00 +0000,2023-11-17 03:50:00 +0000,degF,100.9
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 04:00:00 +0000,2023-11-17 04:00:00 +0000,degF,100.9
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 05:09:00 +0000,2023-11-17 05:09:00 +0000,degF,100.9
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 05:41:00 +0000,2023-11-17 05:41:00 +0000,degF,100.5
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 15:26:00 +0000,2023-11-17 15:26:00 +0000,degF,98.0
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 17:19:00 +0000,2023-11-17 17:19:00 +0000,degF,98.8
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 18:20:00 +0000,2023-11-17 18:20:00 +0000,degF,98.8
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 20:35:00 +0000,2023-11-17 20:35:00 +0000,degF,99.6
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 21:03:00 +0000,2023-11-17 21:03:00 +0000,degF,100.1
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 21:40:00 +0000,2023-11-17 21:40:00 +0000,degF,100.5
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 22:13:00 +0000,2023-11-17 22:13:00 +0000,degF,101.0
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-17 23:10:00 +0000,2023-11-17 23:10:00 +0000,degF,100.7
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 00:55:00 +0000,2023-11-18 00:55:00 +0000,degF,99.3
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 02:15:00 +0000,2023-11-18 02:15:00 +0000,degF,98.3
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 03:16:00 +0000,2023-11-18 03:16:00 +0000,degF,97.8
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 04:22:00 +0000,2023-11-18 04:22:00 +0000,degF,98.4
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 10:59:00 +0000,2023-11-18 10:59:00 +0000,degF,100.0
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 13:35:00 +0000,2023-11-18 13:35:00 +0000,degF,97.7
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 15:39:00 +0000,2023-11-18 15:39:00 +0000,degF,97.4
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 17:40:00 +0000,2023-11-18 17:40:00 +0000,degF,97.2
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 19:53:00 +0000,2023-11-18 19:53:00 +0000,degF,98.5
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 20:33:00 +0000,2023-11-18 20:33:00 +0000,degF,99.1
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-18 22:07:00 +0000,2023-11-18 22:07:00 +0000,degF,98.3
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 02:49:00 +0000,2023-11-19 02:49:00 +0000,degF,98.8
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 03:57:00 +0000,2023-11-19 03:57:00 +0000,degF,98.2
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 05:24:00 +0000,2023-11-19 05:24:00 +0000,degF,98.2
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 12:28:00 +0000,2023-11-19 12:28:00 +0000,degF,96.8
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 14:18:00 +0000,2023-11-19 14:18:00 +0000,degF,97.7
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 14:47:00 +0000,2023-11-19 14:47:00 +0000,degF,97.4
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 19:03:00 +0000,2023-11-19 19:03:00 +0000,degF,97.7
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 20:24:00 +0000,2023-11-19 20:24:00 +0000,degF,97.5
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-19 21:46:00 +0000,2023-11-19 21:46:00 +0000,degF,97.3
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-20 06:44:00 +0000,2023-11-20 06:44:00 +0000,degF,97.1
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-20 16:35:00 +0000,2023-11-20 16:35:00 +0000,degF,96.9
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-24 16:10:00 +0000,2023-11-24 16:10:00 +0000,degF,97.1
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-25 00:10:00 +0000,2023-11-25 00:10:00 +0000,degF,98.5
HKQuantityTypeIdentifierBodyTemperature,Shortcuts,2038.0.1.10,"iPhone15,2",,2023-11-25 23:10:00 +0000,2023-11-25 23:10:00 +0000,degF,97.5
